num_vars,seed,true_edges,edge_density,max_eigenvalue_real,Correlation-pearson_AUROC,Correlation-pearson_AUPRC,Correlation-pearson_training_time,Correlation-pearson_num_true_edges,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,experiment_id,total_experiments
10,3356,16,0.16,0.8242492649550226,0.9382440476190477,0.7260258682887993,0.004927158355712891,16,0.8597470238095237,0.5575197261868416,11.724976062774658,16,1,15
20,3356,66,0.165,1.1643701100667982,0.8925784794048268,0.5743989299140365,0.020298004150390625,66,0.49308201778261657,0.1657220654776271,109.59090304374695,66,2,15
50,3356,508,0.2032,2.034775138583377,0.848455831198811,0.5922014394396633,0.15285611152648926,508,0.4938543544255763,0.20139269863994275,1276.843223810196,508,3,15
10,451,26,0.26,0.9619140726704427,0.8316008316008316,0.6315712487493615,0.005088090896606445,26,0.7494802494802495,0.5247293872367533,12.046858072280884,26,4,15
20,451,87,0.2175,1.5831596518876865,0.885461422643311,0.6521530815247891,0.020205974578857422,87,0.5256692739892035,0.24580810716176005,112.1531310081482,87,5,15
50,451,514,0.2056,2.358887658897329,0.8566071449563284,0.6217668008729286,0.2832341194152832,514,0.4995768041661279,0.20547069739598922,1184.1803421974182,514,6,15
10,7502,18,0.18,0.6357636883488409,0.9234417344173441,0.7057936877125475,0.00521397590637207,18,0.899390243902439,0.5734090486807878,11.436279773712158,18,7,15
20,7502,90,0.225,1.1758428350669232,0.8552329749103942,0.624972713646667,0.019953250885009766,90,0.5451612903225806,0.24346728498264447,110.98820996284485,90,8,15
50,7502,473,0.1892,2.021048204444583,0.8674354981533651,0.5873015444490116,0.269258975982666,473,0.49086017411874155,0.1872360258895893,1216.7743060588837,473,9,15
10,3039,20,0.2,0.0,0.8456250000000001,0.5219128253589829,0.005120992660522461,20,0.754375,0.39178697563615483,14.001855850219727,20,10,15
20,3039,67,0.1675,1.0419578969290053,0.8689883913764511,0.5730385501232712,0.021433115005493164,67,0.5575500874008337,0.1996552851721159,113.85115694999695,67,11,15
50,3039,494,0.1976,2.052936950271194,0.8329888875882474,0.5472251506476834,0.26587605476379395,494,0.4890611566111383,0.19512101345174349,1251.0748789310455,494,12,15
10,2811,23,0.23,0.868436794777842,0.9085262563523433,0.7768841612351842,0.0052568912506103516,23,0.8675889328063241,0.6711288878104653,12.510401010513306,23,13,15
20,2811,82,0.205,1.0594303632003383,0.8525464028225188,0.6307464401415244,0.019874095916748047,82,0.5343227488878662,0.22527688080151054,118.79053997993469,82,14,15
50,2811,510,0.204,1.9847764474538856,0.8376894275298058,0.5893168447774586,0.25156283378601074,510,0.49141294708838307,0.20223605313092977,1265.008573293686,510,15,15
