num_vars,seed,sparsity_target,sparsity_actual,true_edges,edge_density,max_eigenvalue_real,Correlation-pearson_AUROC,Correlation-pearson_AUPRC,Correlation-pearson_training_time,Correlation-pearson_num_true_edges,StructureFlow_AUROC,StructureFlow_AUPRC,StructureFlow_training_time,StructureFlow_num_true_edges,NGM-NODE_AUROC,NGM-NODE_AUPRC,NGM-NODE_training_time,NGM-NODE_num_true_edges,experiment_id,total_experiments
10,5679,0.05,0.03333333333333333,3,0.03333333333333333,0.0,0.9896907216494845,0.7555555555555555,0.022884845733642578,3,0.9845360824742267,0.6666666666666667,53.610634088516235,3,0.9467353951890034,0.48120300751879697,104.3844108581543,3.0,1,18
25,5679,0.05,0.03333333333333333,20,0.03333333333333333,0.0,0.9487603305785124,0.5169555950892526,0.10310101509094238,20,0.8335537190082645,0.49079504565482823,71.09690189361572,20,,,,,2,18
50,5679,0.05,0.04040816326530612,99,0.04040816326530612,0.9713096109057946,0.9662724706456486,0.6017303250089507,0.41760730743408203,99,0.8834934097324768,0.40378892005030687,102.64266920089722,99,,,,,3,18
100,5679,0.05,0.04696969696969697,465,0.04696969696969697,1.4173333623713016,0.9707087075911611,0.5670497722045054,1.7386670112609863,465,0.7298592057558175,0.2790220419108958,183.48580718040466,465,,,,,4,18
200,5679,0.05,0.049472361809045226,1969,0.049472361809045226,2.3608419821803466,0.9710622321297618,0.5475218868192755,6.670818090438843,1969,0.5,0.049225,463.62283515930176,1969,,,,,5,18
500,5679,0.05,0.049615230460921846,12379,0.049615230460921846,3.633616679527816,0.9558465216338203,0.5067941655430735,58.34002208709717,12379,0.5001148598708708,0.04962517295419662,2741.7869210243225,12379,,,,,6,18
10,6956,0.05,0.07777777777777778,7,0.07777777777777778,0.39330418828491315,0.9723502304147466,0.7358585858585858,0.009572982788085938,7,0.9662058371735791,0.6239538239538239,48.35750865936279,7,0.8241167434715821,0.4409352031764805,100.50908303260803,7.0,7,18
25,6956,0.05,0.055,33,0.055,0.80611756717372,0.9772727272727273,0.6339657064370563,0.08622598648071289,33,0.9072225634725635,0.49979706632014587,72.30496501922607,33,,,,,8,18
50,6956,0.05,0.05102040816326531,125,0.05102040816326531,0.9752551622002426,0.9466879999999999,0.5504940181052314,0.33699607849121094,125,0.856608,0.4085798165965544,103.25948214530945,125,,,,,9,18
100,6956,0.05,0.05393939393939394,534,0.05393939393939394,1.627088198381019,0.9689331658899859,0.5641741834300498,1.7102408409118652,534,0.697277799275309,0.2521583301000377,173.13980913162231,534,,,,,10,18
200,6956,0.05,0.05120603015075377,2038,0.05120603015075377,2.3929613849778386,0.9657197613914728,0.556396953653589,6.830052137374878,2038,0.5,0.05095,435.3219859600067,2038,,,,,11,18
500,6956,0.05,0.05036472945891784,12566,0.05036472945891784,3.774419858890777,0.952067932098107,0.498964166346594,56.36920976638794,12566,0.500347581617531,0.050745268820627104,2366.0934257507324,12566,,,,,12,18
10,5520,0.05,0.05555555555555555,5,0.05555555555555555,0.0,0.9810526315789473,0.6926190476190477,0.008804798126220703,5,0.9705263157894737,0.52,44.896941900253296,5,0.8242105263157896,0.4070028011204482,91.82305812835693,5.0,13,18
25,5520,0.05,0.051666666666666666,31,0.051666666666666666,0.0,0.9780601716085587,0.6480287344721984,0.14554214477539062,31,0.9115618551102422,0.4252613495641014,67.63449001312256,31,,,,,14,18
50,5520,0.05,0.052653061224489796,129,0.052653061224489796,1.40334216561686,0.9614364789004084,0.5597070459085653,0.33314085006713867,129,0.8933430109952625,0.44877281460345486,102.20153594017029,129,,,,,15,18
100,5520,0.05,0.04898989898989899,485,0.04898989898989899,1.5332857992681121,0.9716844266513535,0.5550065233250351,1.6168560981750488,485,0.7265203612310458,0.26727887071508616,178.79243803024292,485,,,,,16,18
200,5520,0.05,0.04912060301507538,1955,0.04912060301507538,2.2407600190726953,0.9687118263168634,0.5407257219992072,6.623536825180054,1955,0.5,0.048875,436.6331944465637,1955,,,,,17,18
500,5520,0.05,0.04951102204408818,12353,0.04951102204408818,3.787459563094339,0.9553435874269396,0.5004877025141549,56.234710931777954,12353,0.5001513838457096,0.04954441199168893,2314.3193101882935,12353,,,,,18,18
